image,text
S_20140418_1801_01_223_18.jpg,"and you will see a delivery truck , for that matter ."
S_20140420_1803_03_088_03.jpg,that 's a banana .
S_20130824_1007_02_101_09.jpg,want to press the button .
S_20141023_2406_01_039_05.jpg,do you want to play the guitar ?
S_20130905_1019_01_033_13.jpg,"birdy , birdy , birdy ."
S_20140426_1809_01_097_01.jpg,but the mice scurried off sweep sweep sweep .
S_20130529_0712_03_115_07.jpg,you like the sink ?
S_20140426_1809_06_220_00.jpg,where 's his nose ?
S_20141108_2422_01_051_00.jpg,that is the helicopter
S_20141023_2406_05_052_03.jpg,and you can have your choice of which of the other drums you want the real drum or the the gembi yeah
S_20130529_0712_02_102_05.jpg,"alright , here 's some fluffy friends , ooh so cute , and here 's a chicken - cheep cheep cheep ! - and there 's a guinea pig , ready for dinner and a rabbit , and here 's a lamb that says "" baa ! """
S_20140420_1803_04_004_11.jpg,"and so you can draw , ok ?"
S_20130824_1007_02_069_13.jpg,yeah which of these books do you want .
S_20130504_0617_01_051_25.jpg,this the book that little girl told us to get
S_20130616_0730_10_023_07.jpg,that 's a plant .
S_20141029_2412_01_040_03.jpg,and we can get some new books at the library .
S_20130724_0907_07_012_02.jpg,a banana for you .
S_20130417_0600_01_037_06.jpg,which book do you want to read ?
S_20130529_0712_03_051_10.jpg,"there 's a fluffy kitty , and there 's a hungry kitty ."
S_20140409_1723_02_071_00.jpg,oh you want to work on practicing with your cup ?
S_20130911_1025_01_013_07.jpg,"and there are ducks , yeah ."
S_20130720_0903_04_019_26.jpg,"well , yeah , that 's a ball !"
S_20140423_1806_09_120_08.jpg,"now , sure - are you sure you do n't want the - any of this fruit bar ?"
S_20131113_1227_05_080_21.jpg,we can wipe your bottom and put away the poo and then read a bit more .
S_20130526_0709_04_052_07.jpg,where did mouse go ?
S_20130901_1015_04_058_14.jpg,lemons are yellow .
S_20130731_0914_01_083_08.jpg,here is some yogurt with some strawberries and a cupcake
S_20131113_1227_05_085_08.jpg,does it grow on a tree ?
S_20131012_1125_03_042_04.jpg,"look , there is a kitty and everything ."
S_20130808_0922_02_041_01.jpg,"yeah , you like look at the pasta ?"
S_20131003_1116_02_041_06.jpg,there 's a train .
S_20130731_0914_01_096_13.jpg,heres a kitty and heres a doggy
S_20131027_1210_02_149_01.jpg,maybe it lights up the sky ?
S_20140413_1727_01_052_06.jpg,play with the puzzle
S_20130814_0928_03_122_00.jpg,you have bears .
S_20140503_1816_02_151_01.jpg,"look there is a big pile of rocks and dirt and a road so ,"
S_20140430_1813_01_097_14.jpg,and you want to count them now ?
S_20140123_1506_02_097_05.jpg,which -- there 's a bucket .
S_20140420_1803_05_063_01.jpg,"i know i know-- let 's put your shoe on , let 's put your shoe on ."
S_20130428_0611_02_008_02.jpg,alright do you want to try the slide ?
S_20140119_1502_03_014_18.jpg,""" it 's got bark on it """
S_20130428_0611_02_149_27.jpg,"yeah , you like the sock ?"
S_20140409_1723_02_044_30.jpg,does the fruit taste good ?
S_20140409_1723_02_004_02.jpg,but you have to get in your crib
S_20130822_1005_02_011_09.jpg,we 're done with this book ?
S_20141019_2402_04_266_14.jpg,and we 'll put the blue right there .
S_20130626_0809_09_042_12.jpg,"he 's behind a fence , so far away ."
S_20141009_2322_02_029_31.jpg,"no , i do n’t think they ’ll eat this hay then , no"
S_20130908_1022_07_018_05.jpg,that 's a shoe
S_20141011_2324_05_424_01.jpg,and there is blue .
S_20140430_1813_05_083_07.jpg,"and , there is a picnic table ."
S_20140430_1813_02_088_02.jpg,"it 's no fun to , to do dots like that ."
S_20130706_0819_03_018_05.jpg,back on the bed ?
S_20140409_1723_02_199_07.jpg,now i m cutting it up so it will cool off .
S_20140123_1506_02_185_07.jpg,"one , two , three , four ."
S_20140503_1816_01_124_31.jpg,i just want to putting … i am putting in all the new sheets for you .
S_20130808_0922_05_154_26.jpg,"yeah , see the balls ?"
S_20140413_1727_01_131_08.jpg,and that 's a platypus
S_20130508_0621_01_004_12.jpg,you want more book ?
S_20130731_0914_01_001_18.jpg,alright you want to read some books ?
S_20141011_2324_05_379_08.jpg,and there what color is this ?
S_20130814_0928_03_129_03.jpg,you want to read ?
S_20141011_2324_05_351_22.jpg,you want to do some squishing and squeezing ?
S_20140430_1813_02_150_05.jpg,"yellow … there is yellow , yeah ."
S_20140426_1809_06_026_14.jpg,wooo it 's dark .
S_20131012_1125_04_041_22.jpg,the kitty .
S_20130908_1022_04_097_18.jpg,"we did n't finish that book , do you want to finish it ?"
S_20130818_1001_02_149_00.jpg,ok see the ball ?
S_20141015_2328_04_032_00.jpg,you wanna go on the sand !
S_20130822_1005_01_006_23.jpg,you know how to open an egg ?
S_20130504_0617_01_240_02.jpg,spin spin .
S_20140503_1816_04_037_12.jpg,okay … now do you want to have a l- a green or red ?
S_20141102_2416_01_009_11.jpg,i have to get into the computer .. and then go into a big blank page and we can do some typing
S_20131024_1207_03_132_07.jpg,look at that kitty .
S_20141019_2402_04_157_13.jpg,do we want any more green ?
S_20140406_1720_04_102_01.jpg,now you want it -- to get a new blank paper ?
S_20140125_1508_03_070_18.jpg,here 's some water .
S_20130808_0922_02_059_07.jpg,"there is jam on bread and cheese , yoghurt , and cupcake , sparkly ."
S_20140423_1806_05_142_06.jpg,where 'd the balls go ?
S_20131113_1227_05_087_12.jpg,"look , and there are these hearts ."
S_20131024_1207_03_111_02.jpg,there is a baby and a duck .
S_20130529_0712_02_111_13.jpg,"okay , no - we have to finish the book"
S_20130724_0907_01_011_19.jpg,right ok all done which one do you want now this one alright this ones about food
S_20130824_1007_01_111_06.jpg,play !
S_20130529_0712_05_075_00.jpg,it 's yummy bread
S_20140409_1723_06_031_13.jpg,do you think you can close it again ?
S_20140430_1813_02_351_00.jpg,give me the emu .
S_20130728_0911_01_024_10.jpg,where 'd the ball go ?
S_20141015_2328_01_350_07.jpg,"oh , uhh , we 're bringing this shovel"
S_20130616_0730_10_029_19.jpg,that 's a stick !
S_20131113_1227_03_073_03.jpg,this is my bread .
S_20141015_2328_02_035_04.jpg,found an i ?
S_20140409_1723_07_036_09.jpg,that 's what it 's fun to do on sand .
S_20130605_0719_01_002_13.jpg,do you wanna read a book ?
S_20130814_0928_03_075_02.jpg,another book ?
S_20140405_1719_03_017_02.jpg,maybe you can get the ball and put it in a bucket .
S_20130706_0819_04_030_15.jpg,let 's try read .
S_20140409_1723_07_047_00.jpg,we 'll brush the sand off at the very end .
S_20130706_0819_04_177_07.jpg,you want to press the buttom .
S_20130808_0922_03_034_17.jpg,all done with that book .
S_20130928_1111_02_017_13.jpg,now do you see the ball ?
S_20140423_1806_05_052_03.jpg,"yeah , i have shoes on ."
S_20130714_0827_07_053_12.jpg,throw it .
S_20130626_0809_01_108_03.jpg,now what do you want to read ?
S_20140426_1809_06_149_06.jpg,try yellow now ? !
S_20140418_1801_01_140_02.jpg,a cement lauree !
S_20130605_0719_04_007_12.jpg,that is a big truck .
S_20141026_2409_04_085_13.jpg,sheep got cold cause she was still outside the cave !
S_20130522_0705_02_073_07.jpg,""" alright , shall we read this one ? """
S_20131003_1116_03_024_05.jpg,it 's a baby !
S_20130417_0600_01_091_07.jpg,that one is smiling and that one has a teddy bear .
S_20141029_2412_01_303_02.jpg,"yeah , you want bunnies ?"
S_20131110_1224_01_007_04.jpg,  and the kitty .
S_20131012_1125_04_013_12.jpg,you want to go back up the stairs ?
S_20130818_1001_02_077_02.jpg,see the ball ?
S_20130703_0816_06_040_14.jpg,ready?if you 're happy and you know it clap your knees .
S_20131019_1202_02_024_07.jpg,there 's nothing in it now .
S_20141015_2328_01_162_07.jpg,you wanna sit in the shade ?
S_20130619_0802_01_057_14.jpg,"yeah , here 's some cute kitties ."
S_20140503_1816_02_083_04.jpg,you did turn the dishwasher on and off huh .
S_20130622_0805_06_143_14.jpg,you turn the page ?
S_20130814_0928_03_119_05.jpg,here is a car and a ball .
S_20130522_0705_05_013_04.jpg,""" bababa ... wait is this our car ? """
S_20130710_0823_08_047_03.jpg,we 're waving .
S_20140426_1809_01_356_12.jpg,yeah bee .
S_20130829_1012_01_080_29.jpg,"oh here's ... a train , another train , another train , we have trains outside our house do n't we ?"
S_20130522_0705_01_046_01.jpg,""" hey doggy! ... can we be friends? ..."
S_20140405_1719_02_090_05.jpg,shall we play ?
S_20130928_1111_03_053_07.jpg,and here are more of your cousins .
S_20141026_2409_03_125_19.jpg,"oh , is it for me to eat ?"
S_20140426_1809_01_444_03.jpg,here is kitty .
S_20130602_0716_07_077_05.jpg,"well technically it is mulch , yeah ."
S_20130508_0621_01_062_01.jpg,do you like the wind in the trees ?
S_20131113_1227_07_052_23.jpg,you have to actually try pressing it .
S_20140403_1717_06_118_00.jpg,can you give me an egg ?
S_20140405_1719_02_177_02.jpg,i squished it !
S_20140426_1809_06_225_04.jpg,"ok , there 's the picture ."
S_20141011_2324_01_026_03.jpg,all right what color of letters do you want ?
S_20140418_1801_02_206_00.jpg,it smells like apple does n't it .
S_20140129_1512_01_146_08.jpg,big kettle .
S_20130915_1029_02_081_08.jpg,"now , we 're on the road ."
S_20130626_0809_01_069_09.jpg,ready to turn the page ?
S_20131019_1202_03_148_03.jpg,can you put it back in ?
S_20130905_1019_02_077_00.jpg,i 'm going to put some on your face now !
S_20140426_1809_02_021_06.jpg,ok here 's the food .
S_20130706_0819_04_102_00.jpg,meow .
S_20140403_1717_06_114_02.jpg,do you want to eat it ?
S_20140503_1816_04_009_00.jpg,i have a few blanc spaces here .
S_20130724_0907_08_011_14.jpg,i know you want some because it 's yummy is n't it
S_20141023_2406_03_211_04.jpg,"okay , you want to be blue ?"
S_20130818_1001_02_173_09.jpg,you have the ball .
S_20140129_1512_01_128_00.jpg,where 's the cow ?
S_20140423_1806_04_032_05.jpg,are you laying down like mommmy ?
S_20130619_0802_01_132_00.jpg,are you getting done with books ?
S_20141011_2324_01_052_03.jpg,o and q look a lot alike do n't they ?
S_20140426_1809_01_312_07.jpg,can you how me the bears ?
S_20131027_1210_02_234_08.jpg,scales they are all fish .
S_20131024_1207_03_113_07.jpg,and a dog
S_20141102_2416_01_196_23.jpg,yeah we went on a freeway to go to the farm
S_20140123_1506_04_074_02.jpg,little bit more ?
S_20140426_1809_01_295_14.jpg,and here are some snakes .
S_20130619_0802_01_091_11.jpg,let 's meet some friendly pets .
S_20140426_1809_06_254_09.jpg,that 's white .
S_20140125_1508_03_216_12.jpg,"  alright , this row ."
S_20140125_1508_03_252_06.jpg,that 's a giraffe there .
S_20140418_1801_01_180_00.jpg,and where does the driver sit ?
S_20140125_1508_03_294_08.jpg,a zebra .
